Report of testing
======================General information===================
Total number of different cases: 1016
proportional: 1016
unproportional: 0
zeroDerivations: 0
correct answers number: 1016
incorrect answers number: 0
Average K: 2.0
Max K: 2
Average time per process: 382.3039162158966
average time per test: 4.497693131951725
======================Special cases=========================
=======================Incorrect answers=========================
=======================Zero derivations=========================
=======================Unproportional derivations=========================
=====================Proportional derivations==================
65):  (6, 7, 12, 1, 0, 11):  GIVEN_DERIVATION : [0, 11*x**12*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (15, 15) |-----| COMMUTATOR : [0, y*(6*x**13 + 7*x**12 + 9*x**11 + 8*x**10 + 5*x**9 + x**8 + 8*x**7 + 4*x**6 + 3*x**5 + 9*x**4 + 8*x**3 + 6*x**2 + 7*x + 9)] |-----|
66):  (6, 11, 13, 1, 0, -3):  GIVEN_DERIVATION : [0, -3*x**13*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (16, 16) |-----| COMMUTATOR : [0, y*(5*x**14 + 7*x**13 + x**12 + x**11 + 9*x**10 + 7*x**9 + 7*x**8 + 8*x**7 + 5*x**6 + 4*x**5 + x**4 + 8*x**3 + 8*x**2 + 3*x + 4)] |-----|
67):  (7, 5, 14, 1, 0, -9):  GIVEN_DERIVATION : [0, -9*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(2*x**15 + 9*x**14 + 5*x**13 + 9*x**12 + 5*x**11 + 3*x**10 + 8*x**9 + 6*x**8 + 4*x**7 + 8*x**6 + 7*x**5 + 2*x**4 + x**3 + 4*x**2 + 8*x + 9)] |-----|
68):  (6, 12, 14, 1, 0, -9):  GIVEN_DERIVATION : [0, -9*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(9*x**15 + 7*x**14 + 9*x**13 + 4*x**12 + 3*x**11 + 9*x**10 + x**9 + 4*x**8 + 3*x**7 + 2*x**6 + 3*x**5 + 8*x**4 + 6*x**3 + 6*x**2 + 7*x + 3)] |-----|
69):  (10, 15, 8, 1, 0, 6):  GIVEN_DERIVATION : [0, 6*x**8*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (11, 11) |-----| COMMUTATOR : [0, y*(9*x**9 + 4*x**8 + 4*x**7 + 7*x**6 + 2*x**5 + 4*x**4 + x**3 + 2*x**2 + 5*x + 7)] |-----|
70):  (11, 12, 14, 1, 0, -2):  GIVEN_DERIVATION : [0, -2*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(6*x**15 + 5*x**14 + 6*x**13 + 6*x**12 + 3*x**11 + 8*x**10 + 9*x**9 + 8*x**8 + 4*x**7 + 6*x**6 + x**5 + 6*x**4 + 2*x**3 + 9*x**2 + 4*x + 5)] |-----|
71):  (9, 9, 1, 1, 0, -5):  GIVEN_DERIVATION : [0, -5*x*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (4, 4) |-----| COMMUTATOR : [0, y*(x**2 + 9*x + 2)] |-----|
72):  (3, 6, 14, 1, 0, 4):  GIVEN_DERIVATION : [0, 4*x**14*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (17, 17) |-----| COMMUTATOR : [0, y*(6*x**15 + 5*x**14 + x**13 + 3*x**12 + 8*x**11 + 2*x**10 + 4*x**9 + 9*x**8 + 2*x**7 + 3*x**6 + 4*x**5 + 6*x**4 + 5*x**3 + 6*x**2 + 8*x + 7)] |-----|
73):  (10, 10, 4, 1, 0, 10):  GIVEN_DERIVATION : [0, 10*x**4*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (7, 7) |-----| COMMUTATOR : [0, y*(2*x**5 + x**4 + 3*x**3 + 7*x**2 + 6*x + 1)] |-----|
74):  (11, 5, 10, 1, 0, -14):  GIVEN_DERIVATION : [0, -14*x**10*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (13, 13) |-----| COMMUTATOR : [0, y*(6*x**11 + 2*x**10 + 7*x**9 + 3*x**8 + 8*x**7 + 5*x**6 + 7*x**5 + 2*x**4 + 3*x**3 + 3*x**2 + 9*x + 3)] |-----|
75):  (5, 2, 6, 1, 0, 14):  GIVEN_DERIVATION : [0, 14*x**6*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (9, 9) |-----| COMMUTATOR : [0, y*(7*x**7 + 5*x**6 + 4*x**5 + 4*x**4 + 5*x**3 + 3*x**2 + x + 4)] |-----|
76):  (4, 14, 5, 1, 0, 5):  GIVEN_DERIVATION : [0, 5*x**5*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (8, 8) |-----| COMMUTATOR : [0, y*(9*x**6 + 8*x**5 + 2*x**4 + 7*x**3 + 4*x**2 + x + 4)] |-----|
77):  (7, 4, 3, 1, 0, 1):  GIVEN_DERIVATION : [0, x**3*y] |-----| isSolutionCorrect : True |-----| matrixDimension : (6, 6) |-----| COMMUTATOR : [0, y*(2*x**4 + 2*x**3 + 4*x**2 + 5*x + 7)] |-----|
